LGA,LGA NAME,coef
20110,ALPINE,0.46
20260,ARARAT,0.457
20570,BALLARAT,0.452
20660,BANYULE,0.488
20740,BASS COAST,0.475
20830,BAW BAW,0.468
20910,BAYSIDE,0.578
21010,BENALLA,0.465
21110,BOROONDARA,0.587
21180,BRIMBANK,0.414
21270,BULOKE,0.495
21370,CAMPASPE,0.464
21450,CARDINIA,0.413
21610,CASEY,0.405
21670,CENTRAL GOLDFIELDS,0.451
21750,COLAC-OTWAY,0.454
21830,CORANGAMITE,0.498
21890,DAREBIN,0.448
22110,EAST GIPPSLAND,0.473
22170,FRANKSTON,0.409
22250,GANNAWARRA,0.504
22310,GLEN EIRA,0.507
22410,GLENELG,0.457
22490,GOLDEN PLAINS,0.436
22620,GREATER BENDIGO,0.44
22670,GREATER DANDENONG,0.412
22750,GREATER GEELONG,0.459
22830,GREATER SHEPPARTON,0.448
22910,HEPBURN,0.498
22980,HINDMARSH,0.461
23110,HOBSONS BAY,0.449
23190,HORSHAM,0.438
23270,HUME,0.41
23350,INDIGO,0.444
23430,KINGSTON,0.451
23670,KNOX,0.432
23810,LATROBE,0.466
23940,LODDON,0.532
24130,MACEDON RANGES,0.479
24210,MANNINGHAM,0.529
24250,MANSFIELD,0.514
24330,MARIBYRNONG,0.435
24410,MAROONDAH,0.439
24600,MELBOURNE,0.564
24650,MELTON,0.392
24780,MILDURA,0.447
24850,MITCHELL,0.411
24900,MOIRA,0.488
24970,MONASH,0.498
25060,MOONEE VALLEY,0.475
25150,MOORABOOL,0.426
25250,MORELAND,0.436
25340,MORNINGTON PENINSULA,0.502
25430,MOUNT ALEXANDER,0.48
25490,MOYNE,0.471
25620,MURRINDINDI,0.485
25710,NILLUMBIK,0.474
25810,NORTHERN GRAMPIANS,0.462
25900,PORT PHILLIP,0.521
25990,PYRENEES,0.491
26080,QUEENSCLIFFE,0.556
26170,SOUTH GIPPSLAND,0.501
26260,SOUTHERN GRAMPIANS,0.469
26350,STONNINGTON,0.59
26430,STRATHBOGIE,0.488
26490,SURF COAST,0.502
26610,SWAN HILL,0.459
26670,TOWONG,0.476
26700,WANGARATTA,0.451
26730,WARRNAMBOOL,0.446
26810,WELLINGTON,0.501
26890,WEST WIMMERA,0.493
26980,WHITEHORSE,0.502
27070,WHITTLESEA,0.401
27170,WODONGA,0.401
27260,WYNDHAM,0.409
27350,YARRA,0.489
27450,YARRA RANGES,0.434
27630,YARRIAMBIACK,0.491
